Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
219,534,5313,12150,2445,219,385
219,535,5410,10335,2440,219,385
219,536,6038,12160,2460,219,385
219,537,5497,12160,2440,219,385
219,538,4845,10335,1505,219,385
219,539,5028,12150,2460,219,385
219,540,4573,10335,615,219,385
219,541,3555,7515,1510,219,385
219,542,5585,12160,620,219,385
219,543,4477,8510,635,219,385
219,544,4940,10330,1490,219,385
219,545,4401,10335,1510,219,385
219,546,5220,10335,615,219,385
219,547,6325,12140,1510,219,385
219,548,4757,10335,635,219,385
219,549,5309,10335,2460,219,385
219,550,4394,10335,635,219,385
219,551,5394,12160,1510,219,385
219,552,6135,12140,1495,219,385
219,553,5863,12160,615,219,385
219,554,4665,10335,635,219,385
219,555,4486,10320,620,219,385
219,556,5400,12140,630,219,385
219,557,5123,12160,635,219,385
219,558,5301,10335,1510,219,385
219,559,5481,12160,1510,219,385
219,560,4758,10335,620,219,385
219,561,5673,12150,1495,219,385
219,562,5025,12155,3315,219,385
219,563,5038,12155,635,219,385
219,564,5480,10335,2450,219,385
219,565,4382,10335,1500,219,385
219,566,4747,12140,625,219,385
219,567,5307,10335,635,219,385
219,568,5124,8510,630,219,385
219,569,4664,10330,630,219,385
219,570,5677,12160,2440,219,385
219,571,6038,12160,2450,219,385
219,572,5673,12160,1495,219,385
219,573,5212,10335,620,219,385
219,574,5681,12155,635,219,385
219,575,3840,7530,615,219,385
219,576,4478,12160,635,219,385
219,577,4296,8510,630,219,385
219,578,5761,10330,1510,219,385
219,579,4845,10335,1510,219,385
219,580,5585,10335,1510,219,385
219,581,6403,12160,2440,219,385
219,582,5582,12160,2460,219,385
219,583,5866,12160,620,219,385
219,584,5217,12150,635,219,385
219,585,5314,10330,1510,219,385
219,586,5498,10335,620,219,385
219,587,5325,10335,635,219,385
219,588,5307,12160,630,219,385
219,589,4393,12160,620,219,385
219,590,5491,12150,1510,219,385
219,591,4490,10335,615,219,385
219,592,5305,10335,2440,219,385
219,593,4843,10335,2455,219,385
219,594,5393,12160,1510,219,385
219,595,5853,12160,1510,219,385
219,596,4488,10335,635,219,385
219,597,5132,10335,635,219,385
219,598,5123,10335,635,219,385
219,599,4669,10330,2445,219,385
219,600,5394,10335,2460,219,385
219,601,5392,12160,635,219,385
219,602,4660,12150,1495,219,385
219,603,4296,8495,1495,219,385
219,604,5316,12160,635,219,385
219,605,3746,7515,620,219,385
219,606,6413,12160,615,219,385
219,607,5403,12160,615,219,385
219,608,4114,12150,630,219,385
219,609,4845,10335,1505,219,385
219,610,4842,10315,2440,219,385
219,611,5028,12140,635,219,385
219,612,3658,7520,620,219,385
219,613,4208,8510,635,219,385
219,614,5400,10330,1510,219,385
219,615,4105,12150,615,219,385
219,616,5115,12140,1495,219,385
219,617,5751,10330,1495,219,385
219,618,5951,12160,1510,219,385
219,619,4853,10325,1490,219,385
219,620,5214,10335,2440,219,385
219,621,5393,10335,1510,219,385
219,622,3660,10330,625,219,385
219,623,4842,10315,635,219,385
219,624,4295,12140,620,219,385
219,625,4210,10335,625,219,385
219,626,4681,10325,620,219,385
219,627,5307,10335,625,219,385
219,628,5318,10335,635,219,385
219,629,4757,10335,1510,219,385
219,630,4585,10335,615,219,385
219,631,4941,8510,1510,219,385
219,632,4852,10325,615,219,385
219,633,4653,10335,1500,219,385
219,634,6230,12160,635,219,385
219,635,4836,10330,1495,219,385
219,636,5675,10335,630,219,385
219,637,4470,12145,1510,219,385
219,638,5409,12140,2440,219,385
219,639,4942,10330,1505,219,385
219,640,5210,10335,1490,219,385
219,641,5295,10330,615,219,385
219,642,4678,10335,615,219,385
219,643,4941,12160,635,219,385
219,644,4768,10320,635,219,385
219,645,5306,10335,2460,219,385
219,646,5038,10335,635,219,385
219,647,4668,12160,2445,219,385
219,648,4114,8510,635,219,385
219,649,3843,8495,625,219,385
219,650,5307,12155,630,219,385
219,651,5489,12160,2445,219,385
219,652,4671,10330,620,219,385
219,653,5028,12160,635,219,385
